x,y,class
483.24193723723687,147.15807950355332,0
502.39793307077565,113.10147299069621,0
519.7141563490587,169.0920075058636,0
510.3000334258594,162.47308661112453,0
472.2654815686629,116.53178424325648,0
508.27421830647756,122.93759737255226,0
268.16248889491203,263.06315182414176,0
283.2998377438065,241.50941011938153,0
282.4660922239501,220.34883928744932,0
261.2880355519878,233.1400797928555,0
266.9500004786183,223.73081578844614,0
295.712174013722,159.422639094739,0
322.88373731972905,199.40584530532453,0
345.7239953016958,184.2176971166166,0
280.7454679132052,249.5269777715674,0
353.31133404750545,167.17083865235867,0
319.8718299907885,191.84221130445417,0
314.55847873158297,255.62567865374794,0
337.8914535552268,366.955817816402,1
293.272138762301,362.92277593900343,1
320.01216926890186,336.0077117658916,1
321.30966918189984,356.8326169553895,1
354.5973118075824,351.1186820673594,1
350.51755357796617,387.16959314170344,1
364.35791437112465,392.2057730749105,1
388.78138472963394,352.4297739295353,1
375.71868196020165,338.27204202110113,1
422.1129265393712,373.25599680085963,1
463.7300234081601,356.03713929422645,1
469.1405686511437,341.85455599227885,1
441.699243487997,404.0433815604949,1
427.4703650360416,359.1074379889475,1
466.4891361416744,315.93869823593536,1
421.0924244506437,337.54599813477313,1
377.9882614520246,368.43054154477136,0
385.42766528828514,386.52549162092595,0
382.0151560606075,428.2535707087761,0
437.08348216990134,392.0454225389058,0
398.0615014707271,402.73818080710623,0
399.57836081680165,349.27974940356415,0
359.62090565457856,358.37126248224297,0
350.90811957206125,315.8948644393001,0
333.13782422722807,285.2639080860315,0
373.39348770151804,279.6914987160994,0
420.6883359363688,297.56771144356867,0
350.27316753418904,319.9555608931204,0
